Replace Part A1 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A1 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A1 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part A1 OPA4990 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with OPA4990 from Kalibracija.SchLib
Replace Part H1 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H3 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H5 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part H7 LED0 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with LED0 from Miscellaneous Devices.IntLib
Replace Part R1 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R3 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R5 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part R7 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs1 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs3 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs5 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part Rs7 Res2 in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with Res2 from Miscellaneous Devices.IntLib
Replace Part V1 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V3 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V5 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
Replace Part V7 MOSFET-N in C:\Users\Ivan\Documents\GitHub\Kalibrator\Kalibracija\led2.SchDoc with MOSFET-N from Miscellaneous Devices.IntLib
